Name,Institution_Type,Address,District_City,State,Pincode,AICTE_Permanent_ID,Women_Only,Minority_Institution,Courses_Offered,Website,Source
AGRA PUBLIC COLLEGE OF TECH.& MANAGEMENT,Private-Self Financing,"HIRA LAL KI PIYAU, ARTONI,NH-2, AGRA",Agra,Uttar Pradesh,,1-44638344739,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
C.B.S COLLEGE OF MANAGEMENT,Private-Self Financing,"C.B.S COLLEGE OF MANAGEMENT,  POIYA, HATHRAS ROAD, AGRA-282006",Agra,Uttar Pradesh,282006,1-44641405460,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CBS COLLEGE OF POLYTECHNIC,Private-Self Financing,"C.B.S COLLEGE OF POLYTECHIC, VILLEGE-POIYA,PILI POKHAR, ALIGARH ROAD, AGRA-282006",Agra,Uttar Pradesh,282006,1-44639827079,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"CHAUDHARY BEERI SINGH COLLEGE OF ENGINEERING & MANAGEMENT, AGRA",Private-Self Financing,"CH. BEERI SINGH COLLEGE OF ENGINEERING & MANAGEMENT, POIYA, NEAR 400 KV SUB STATION, PILI POKHAR, ALIGARH ROAD, AGRA-282006",Agra,Uttar Pradesh,282006,1-44641683819,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
COLLEGE OF BUSINESS STUDIES AGRA,Private-Self Financing,"NEAR NAVEEN SABJI MANDI ,AGRA -DELHI HIGHWAY SIKANDARA AGRA 282007",Agra,Uttar Pradesh,282007,1-44642860117,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
D.E.I. TECHNICAL COLLEGE,Govt aided,"DAYALBAGH EDUCATIONAL INSTITUTE (DEEMED) UNIVERSITY, DAYALBAGH, AGRA 282005",Agra,Uttar Pradesh,282005,1-44640657789,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYALBAGH EDUCATIONAL INSTITUTE,Govt aided,"DAYALBAGH, AGRA - 282110, UTTAR PRADESH, INDIA.",Agra,Uttar Pradesh,282110,1-44643259580,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYALBAGH EDUCATIONAL INSTITUTE - DEPARTMENT OF MANAGEMENT,Govt aided,"DAYALBAGH, AGRA  282110 UTTAR PRADESH",Agra,Uttar Pradesh,282110,1-44640779201,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DEV INSTITUTE OF TECHNICAL EDUCATION,Private-Self Financing,BARHAN ETMADPUR AGRA,Agra,Uttar Pradesh,,1-44641096716,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DEV TECHNICAL CAMPUS,Private-Self Financing,"AGRA-FIROZABAD NATIONAL HIGHWAY NO.-2, NEAR KUBERPUR, REHANKHURD, AGRA",Agra,Uttar Pradesh,,1-44641535034,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DR. BHIMRAO AMBEDKAR UNIVERSITY,State Government University,KHANDARI CAMPUS,Agra,Uttar Pradesh,,1-44637271980,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"FACULTY OF ENGINEERING & TECHNOLOGY, R.B.S.COLLEGE, BICHPURI CAMPUS, AGRA.",Private-Self Financing,"BICHPURI CAMPUS, BICHPURI, AGRA.",Agra,Uttar Pradesh,,1-44643237062,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"FACULTY OF ENGINEERING & TECHNOLOGY,AGRA COLLEGE,AGRA",Private-Self Financing,"FET,AGRA COLLEGE,AGRA MOTI KATRA ROAD, M.G ROAD AGRA.",Agra,Uttar Pradesh,,1-44643750139,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"FACULTY OF PG DEGREE IN BUSINESS ADMINISTRATION, R.B.S.COLLEGE, AGRA.",Private-Self Financing,"KHANDARI FARM CAMPUS, KHANDARI, AGRA",Agra,Uttar Pradesh,,1-44643256673,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"FACULTY OF PG DEGREE IN COMPUTER APPLICATION, R.B.S.COLLEGE, AGRA",Private-Self Financing,"KHANDARI FARM CAMPUS, KHANDARI, AGRA",Agra,Uttar Pradesh,,1-44642610878,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT LEATHER INSTITUTE, AGRA",Government,"INDUSTRIAL ESTATE, NUNHAI AGRA-06",Agra,Uttar Pradesh,,1-44639909905,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
